Id_Athlete,Athlete,Gender,Medal
,PELTIER,Men,Silver
,"ROBERTSON, David Donaldson",Men,Bronze
,"SANDS, Charles Edward",Men,Gold
,"RUTHERFORD, Walter",Men,Silver
,"PRATT, Daria",Women,Bronze
,"ABBOTT, Margaret Ives",Women,Gold
,"WHITTIER, Pauline",Women,Silver
,"DEMANET, Lucien",Men,Bronze
,"SANDRAS, Gustave",Men,Gold
,"BAS, Noël",Men,Silver
,"BOUSSOD, Jean",Men,Bronze
,"DUC DE BISACCIA, Louis",Men,Bronze
,"FAUQUET LEMAITRE, A.",Men,Bronze
,"RAOUL-DUVAL, Maurice",Men,Bronze
,"DALY, Dennis",Men,Gold
,"KEENE, Foxhall Parker",Men,Gold
,"MACKEY, Frank Jay",Men,Gold
,"RAWLINSON, Alfred",Men,Gold
,"BUCKMASTER, Walter Selby",Men,Silver
,"COMTE DE MADRE, José Pierre M.J.",Men,Silver
,"FREAKE, Frederick Maitland",Men,Silver
,"MCCREERY, Walter Adolph",Men,Silver
,"BRANDT, Francois Antoine",Men,Bronze
,"BROCKMANN, Hermanus Gerardus",Men,Bronze
,"KLEIN, Roelof",Men,Bronze
,"LEEGSTRA, Ruud Gerbens",Men,Bronze
,"MIDDELBERG, Walter",Men,Bronze
,"OFFERHAUS, Hendrik Karel",Men,Bronze
,"THIJSSEN, Walter",Men,Bronze
,"TROMP, Henricus",Men,Bronze
,"VAN DIJK, Johannes Wilhelmus Maria",Men,Bronze
,"ABELL, Louis",Men,Gold
,"CARR, William",Men,Gold
,"DEBAECKE, Harry",Men,Gold
,"EXLEY, John",Men,Gold
,"GEIGER, John",Men,Gold
,"HEDLEY, Edward",Men,Gold
,"JUVENAL, James",Men,Gold
,"LOCKWOOD, Roscoe",Men,Gold
,"MARSH, Edward",Men,Gold
,"BRUGGEMAN, Prospère",Men,Silver
,"DE BISSCHOP, Jules",Men,Silver
,"DE COCK, Oscar",Men,Silver
,"DE SOMVILLE, Oscar Charles",Men,Silver
,"HEMELSOET, Maurice",Men,Silver
,"ODBERG, Frank",Men,Silver
,"VAN CROMBRUGGHE, Marcel Lucien",Men,Silver
,"VAN LANDEGHEM, Alfred",Men,Silver
,"VERDONCK, Maurice",Men,Silver
,"CARSTENS, Wilhelm",Men,Bronze
,"FELLE, Ernst",Men,Bronze
,"FICKEISEN, Otto",Men,Bronze
,"KÖRNER, Julius",Men,Bronze
,"KRÖWERATH, Franz",Men,Bronze
,"LEHLE, Carl",Men,Bronze
,"MÖLLER, Adolf",Men,Bronze
,"MOTHS, Gustav Adolf",Men,Bronze
,"RÜSTER, Hugo",Men,Bronze
,"WILKER, Hermann",Men,Bronze
,"BOUCKAERT, Henri",Men,Gold
,"CAU, Jean",Men,Gold
,CHARLOT,Men,Gold
,"DELCHAMBRE, Emile",Men,Gold
,"GOSSLER, Carl Heinrich",Men,Gold
,"GOSSLER, Gustav Ludwig",Men,Gold
,"GOSSLER, Oscar",Men,Gold
,"HAZEBROUCK, Henri",Men,Gold
,"KATZENSTEIN, Walther",Men,Gold
,"TIETGENS, Waldemar",Men,Gold
,"BROCKMANN, Hermanus Gerardus",Men,Silver
,"HIEBENDAAI, Coenraad Christiaan",Men,Silver
,"LOTSY, Gerhard Oswald",Men,Silver
,"LOTSY, Paulus Jan",Men,Silver
,"LUMPP, Georges",Men,Silver
,"PERRIN, Charles",Men,Silver
,"SOUBEYRAN, Daniel",Men,Silver
,"TERWOGT, Johannes Hester Lambertus",Men,Silver
,"WEGELIN, Emile",Men,Silver
,"DELTOUR, Carlos",Men,Bronze
,"PAOLI, Raoul",Men,Bronze
,"VEDRENNE, Antoine Erneste",Men,Bronze
,"BRANDT, Francois Antoine",Men,Gold
,"BROCKMANN, Hermanus Gerardus",Men,Gold
,"KLEIN, Roelof",Men,Gold
,"MARTINET, Louis",Men,Silver
