NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
RAWLINSON, Alfred;ZZX;Men;;;;;;;;;
BUCKMASTER, Walter Selby;ZZX;Men;;;;;;;;;
COMTE DE MADRE, Jos?? Pierre M.J.;ZZX;Men;;;;;;;;;
FREAKE, Frederick Maitland;ZZX;Men;;;;;;;;;
MCCREERY, Walter Adolph;ZZX;Men;;;;;;;;;
BRANDT, Francois Antoine;NED;Men;;;;;;;;;
BROCKMANN, Hermanus Gerardus;NED;Men;;;;;;;;;
KLEIN, Roelof;NED;Men;;;;;;;;;
LEEGSTRA, Ruud Gerbens;NED;Men;;;;;;;;;
MIDDELBERG, Walter;NED;Men;;;;;;;;;
OFFERHAUS, Hendrik Karel;NED;Men;;;;;;;;;
THIJSSEN, Walter;NED;Men;;;;;;;;;
TROMP, Henricus;NED;Men;;;;;;;;;
VAN DIJK, Johannes Wilhelmus Maria;NED;Men;;;;;;;;;
ABELL, Louis;USA;Men;;;;;;;;;
CARR, William;USA;Men;;;;;;;;;
DEBAECKE, Harry;USA;Men;;;;;;;;;
EXLEY, John;USA;Men;;;;;;;;;
GEIGER, John;USA;Men;;;;;;;;;
HEDLEY, Edward;USA;Men;;;;;;;;;
JUVENAL, James;USA;Men;;;;;;;;;
LOCKWOOD, Roscoe;USA;Men;;;;;;;;;
MARSH, Edward;USA;Men;;;;;;;;;
BRUGGEMAN, Prosp??re;BEL;Men;;;;;;;;;
DE BISSCHOP, Jules;BEL;Men;;;;;;;;;
DE COCK, Oscar;BEL;Men;;;;;;;;;
DE SOMVILLE, Oscar Charles;BEL;Men;;;;;;;;;
HEMELSOET, Maurice;BEL;Men;;;;;;;;;
ODBERG, Frank;BEL;Men;;;;;;;;;
VAN CROMBRUGGHE, Marcel Lucien;BEL;Men;;;;;;;;;
VAN LANDEGHEM, Alfred;BEL;Men;;;;;;;;;
VERDONCK, Maurice;BEL;Men;;;;;;;;;
CARSTENS, Wilhelm;GER;Men;;;;;;;;;
FELLE, Ernst;GER;Men;;;;;;;;;
FICKEISEN, Otto;GER;Men;;;;;;;;;
KÖRNER, Julius;GER;Men;;;;;;;;;
KRÖWERATH, Franz;GER;Men;;;;;;;;;
LEHLE, Carl;GER;Men;;;;;;;;;
MÖLLER, Adolf;GER;Men;;;;;;;;;
MOTHS, Gustav Adolf;GER;Men;;;;;;;;;
RÜSTER, Hugo;GER;Men;;;;;;;;;
WILKER, Hermann;GER;Men;;;;;;;;;
BOUCKAERT, Henri;FRA;Men;;;;;;;;;
CAU, Jean;FRA;Men;;;;;;;;;
CHARLOT;FRA;Men;;;;;;;;;
DELCHAMBRE, Emile;FRA;Men;;;;;;;;;
GOSSLER, Carl Heinrich;GER;Men;;;;;;;;;
GOSSLER, Gustav Ludwig;GER;Men;;;;;;;;;
GOSSLER, Oscar;GER;Men;;;;;;;;;
HAZEBROUCK, Henri;FRA;Men;;;;;;;;;
KATZENSTEIN, Walther;GER;Men;;;;;;;;;
TIETGENS, Waldemar;GER;Men;;;;;;;;;
HIEBENDAAI, Coenraad Christiaan;NED;Men;;;;;;;;;
LOTSY, Gerhard Oswald;NED;Men;;;;;;;;;
LOTSY, Paulus Jan;NED;Men;;;;;;;;;
LUMPP, Georges;FRA;Men;;;;;;;;;
PERRIN, Charles;FRA;Men;;;;;;;;;
SOUBEYRAN, Daniel;FRA;Men;;;;;;;;;
TERWOGT, Johannes Hester Lambertus;NED;Men;;;;;;;;;
WEGELIN, Emile;FRA;Men;;;;;;;;;
DELTOUR, Carlos;FRA;Men;;;;;;;;;
PAOLI, Raoul;FRA;Men;;;;;;;;;
VEDRENNE, Antoine Erneste;FRA;Men;;;;;;;;;
MARTINET, Louis;FRA;Men;;;;;;;;;
UNKNOWN COX / BARREUR INCONNU;FRA;Men;;;;;;;;;
WALEFF;FRA;Men;;;;;;;;;
ASHE, Saint-George;GBR;Men;;;;;;;;;
BARRELET, Henri;FRA;Men;;;;;;;;;
GAUDIN, Andr??;FRA;Men;;;;;;;;;
AITOFF, Vladimir;FRA;Men;;;;;;;;;
ALBERT, A.;FRA;Men;;;;;;;;;
BINOCHE, Jean, LÃ©on;FRA;Men;;;;;;;;;
COLLAS, Jean;FRA;Men;;;;;;;;;
GAUTIER, Jean Guy;FRA;Men;;;;;;;;;
GIROUX, Auguste;FRA;Men;;;;;;;;;
GONDOUIN, Charles;FRA;Men;;;;;;;;;
HENRIQUEZ DE ZUBIERRA, Constantin;FRA;Men;;;;;;;;;
HERVE, Jean;FRA;Men;;;;;;;;;
LARDANCHET, Victor;FRA;Men;;;;;;;;;
LEFEBVRE, Hubert;FRA;Men;;;;;;;;;
OLIVIER, Joseph;FRA;Men;;;;;;;;;
PHARAMOND, Alexandre;FRA;Men;;;;;;;;;
REICHEL, Frantz;FRA;Men;;;;;;;;;
RISCHMANN, Andr??;FRA;Men;;;;;;;;;
ROOSEVELT, Albert;FRA;Men;;;;;;;;;
SARRADE, Emile;FRA;Men;;;;;;;;;
AMRHEIN, Albert;GER;Men;;;;;;;;;
BAYLISS, F.C.;GBR;Men;;;;;;;;;
BETTING, Hugo;GER;Men;;;;;;;;;
BIRTLES, J.Henry;GBR;Men;;;;;;;;;
CAUTLON, J.;GBR;Men;;;;;;;;;
DARBY, Artur John;GBR;Men;;;;;;;;;
DEYKIN, C.P.;GBR;Men;;;;;;;;;
HERRMANN, Jacob;GER;Men;;;;;;;;;
HOFMEISTER, Willy;GER;Men;;;;;;;;;
HOOD, L.;GBR;Men;;;;;;;;;
KREUZER, Hermann;GER;Men;;;;;;;;;
LANDVOIGT, Arnold;GER;Men;;;;;;;;;
LATSCHA, Hans;GER;Men;;;;;;;;;
LOGAN, M.L.;GBR;Men;;;;;;;;;
LOVEITT, H.A.;GBR;Men;;;;;;;;;
LUDWIG, Erich;GER;Men;;;;;;;;;
LUDWIG, Richard;GER;Men;;;;;;;;;
MÜLLER, Fritz;GER;Men;;;;;;;;;
NICOL, N.S.;GBR;Men;;;;;;;;;
POPPE, Eduard;GER;Men;;;;;;;;;
REITZ, Heinrich;GER;Men;;;;;;;;;
SCHMIERER, August;GER;Men;;;;;;;;;
SMITH, V.;GBR;Men;;;;;;;;;
STOCKHAUSEN, Adolf;GER;Men;;;;;;;;;
